head_of_department_code,head_of_account,head_of_account_description,detail_head,detail_head_description,plan_code,voted_charged,year,value,
502,240100794UX,Rainfed Area Development under National Mission on Sustainable Agriculture - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,0,
502,240100794UX,Rainfed Area Development under National Mission on Sustainable Agriculture - State Share,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,886,
502,240100794UY,Paramparagat Krishi Vikas Yojana (PKVY) under National Mission on Sustainable Agriculture - State Share,30502,Other Contingencies,SSSC,Voted,2021-2022,0,
502,240100794UY,Paramparagat Krishi Vikas Yojana (PKVY) under National Mission on Sustainable Agriculture - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,0,
502,240100794UY,Paramparagat Krishi Vikas Yojana (PKVY) under National Mission on Sustainable Agriculture - State Share,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,0,
502,240100794UZ,National Agriculture Development Programme  (NADP-RKVY) - Agriculture Department - State Share,31901,Purchase,SSSC,Voted,2021-2022,93,
502,240100794UZ,National Agriculture Development Programme  (NADP-RKVY) - Agriculture Department - State Share,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,1661,
502,240100794UZ,National Agriculture Development Programme  (NADP-RKVY) - Agriculture Department - State Share,31102,General Subsidy,SSSC,Voted,2021-2022,57,
502,240100794VA,Production and Distribution of quality seeds - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,1177,
502,240100794VB,National Food Security Mission (NFSM) - Other Crops - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,1766,
502,240100794VC,National e-Governance Plan in Agriculture and National Mission on Agricultural Extension Technology under Tribal Sub-Plan - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,0,
502,240100794VL,Tamil Nadu Mission on Sustainable Green Cover in Farm Lands under NMSA,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,352,
502,240100794VM,Tamil Nadu Mission on Sustainable Green Cover in Farm Lands under  NMSA -State Share.,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,275,
502,240100794VN,Administrative cost to TAWDEVA under Sub Mission on Agro Forestry of NMSA,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,15,
502,240100794VO,Administrative cost to TAWDEVA under Sub Mission on Agro Forestry of NMSA - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,10,
502,240100794VP,Administrative cost to TAWDEVA under Paramparagat Krishi Vikas Yojana of National  Mission on Sustainable Agriculture.,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,1,
502,240100794VX,Targeting Rice Fallow Areas - Oilseeds under National Mission on Edible Oil,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,0,
502,240100794VY,Targeting Rice Fallow Areas - Oilseeds under National Mission on Edible Oil - State Share,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,0,
502,240100796AC,Kalaignar's All Villages Integrated Agricultural Development Programme,31101,Individual Based Subsidy,SE,Voted,2021-2022,0,
502,240100796AD,State Agricultural Development Scheme,31101,Individual Based Subsidy,SE,Voted,2021-2022,0,
502,240100796AI,Tamil Nadu Millet Mission.,31101,Individual Based Subsidy,SE,Voted,2021-2022,0,
502,240100796JO,Additional Subsidy to Small and Marginal Farmers,31101,Individual Based Subsidy,SE,Voted,2021-2022,0,
502,240100800AV,Payment to Tamil Nadu Electricity Board on behalf of farmers using farm pump sets,30903,Grants for Specific Schemes,SE,Voted,2021-2022,49119700,
502,240100800KL,Mission on sustainable Dry Land Farming,30903,Grants for Specific Schemes,SE,Voted,2021-2022,13684,
502,240100800KL,Mission on sustainable Dry Land Farming,31101,Individual Based Subsidy,SE,Voted,2021-2022,922600,
502,240100800KL,Mission on sustainable Dry Land Farming,33303,Special Service,SE,Voted,2021-2022,2955,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,30501,Telephone Charges,EAP,Voted,2021-2022,28,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,30502,Other Contingencies,EAP,Voted,2021-2022,230,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,35901,Prizes and Awards,EAP,Voted,2021-2022,29,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,37602,Maintenance,EAP,Voted,2021-2022,15,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,37603,Stationery,EAP,Voted,2021-2022,49,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,36001,T.A./D.A.to Non-Official Members,EAP,Voted,2021-2022,0,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,33303,Special Service,EAP,Voted,2021-2022,1057,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,37201,Training,EAP,Voted,2021-2022,0,
502,240100800PE,Tamil Nadu Irrigated Agriculture Modernisation Project-II Project Cell,32103,Hire Charges,EAP,Voted,2021-2022,36,
502,240100911AA,Deduct - Recoveries of Overpayments -,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-721,
502,240100911AB,Agricultural Extension Centre,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-22,
502,240100911AC,Multiplication and Distribution of Pulses Seeds,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-1,
502,240100911AG,Integrated Coconut Development Programme,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-2,
502,240100911AJ,Seed Processing Unit,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-103,
502,240100911AK,Training and Visits,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-11,
502,240100911AN,Establishment of seed centres for procurement and distribution of seeds,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-2789,
502,240100911AU,Settlement of Air Travel Expenses incurred by Government Departments- Controlled by the Director of Agriculture,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-26,
502,240100911AY,Premium Subsidy for implementation of Pradhan Mantri Fasal Bima Yojana (PMFBY) - State Share,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-53,
502,240100911JD,Scheme for increasing the production of oil seeds,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-15,
502,240100911JS,Kuruvai Special Package for Cauvery Delta Districts,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-1,
502,240100911KL,Inter Cropping with Banana/Sugarcane,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-66924,
502,240100911KZ,Tamil Nadu Cotton Cultivation Mission,37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-179,
502,240100911LE,"Agriculture Package for Rejuvenation of Horticultural Crops affected by cyclone ""THANE""",37702,Recoveries of Overpayments / Remittance of excess drawals,SE,Voted,2021-2022,-796,
502,240100911SB,Production and Distribution of quality seeds,37702,Recoveries of Overpayments / Remittance of excess drawals,CSS,Voted,2021-2022,-229,
502,240100911SE,National Mission on Sustainable Agriculture Growth,37702,Recoveries of Overpayments / Remittance of excess drawals,CSS,Voted,2021-2022,-63,
502,240100911UB,Integrated Cereals Development Programme in Coarse Cereals (ICDP-Coarse Cereals)-Accelerated Maize Development Programme under Technology Mission on Maize,37702,Recoveries of Overpayments / Remittance of excess drawals,SSSC,Voted,2021-2022,-422,
502,240100911UC,Deduct - Recoveries of Overpayments -,37702,Recoveries of Overpayments / Remittance of excess drawals,SSSC,Voted,2021-2022,-69,
502,240100911UF,Sugarcane based cropping system areas - Controlled by Director of Agriculture,37702,Recoveries of Overpayments / Remittance of excess drawals,SSSC,Voted,2021-2022,-2077,
502,240100911UG,Oilseeds  Production Programme,37702,Recoveries of Overpayments / Remittance of excess drawals,SSSC,Voted,2021-2022,-208,
502,240100911UI,National Agriculture Development Programme  (NADP-RKVY) - Agriculture Department,37702,Recoveries of Overpayments / Remittance of excess drawals,SSSC,Voted,2021-2022,-23717,
502,240100911UL,Integrated Cereals Development Programme in Coarse Cereals (ICDP-Coarse Cereals)-Accelerated Maize Development Programme under Technology Mission on Maize,37702,Recoveries of Overpayments / Remittance of excess drawals,SSSC,Voted,2021-2022,-497,
502,240100911VJ,Rainfed Area Development under National Mission on Sustainable Agriculture,37702,Recoveries of Overpayments / Remittance of excess drawals,SSSC,Voted,2021-2022,-102,
502,240200101AA,Soil Testing Laboratories,30101,Pay,SE,Voted,2021-2022,75695,
502,240200101AA,Soil Testing Laboratories,30102,Medical Allowance,SE,Voted,2021-2022,589,
502,240200101AA,Soil Testing Laboratories,30103,Medical Charges,SE,Voted,2021-2022,0,
502,240200101AA,Soil Testing Laboratories,30104,Other Allowances,SE,Voted,2021-2022,881,
502,240200101AA,Soil Testing Laboratories,30106,House Rent Allowance,SE,Voted,2021-2022,4261,
502,240200101AA,Soil Testing Laboratories,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240200101AA,Soil Testing Laboratories,30108,City Compensatory Allowance,SE,Voted,2021-2022,238,
502,240200101AA,Soil Testing Laboratories,30301,Dearness Allowance,SE,Voted,2021-2022,39554,
502,240200101AA,Soil Testing Laboratories,30401,Tour Travelling Allowances,SE,Voted,2021-2022,338,
502,240200101AA,Soil Testing Laboratories,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240200101AA,Soil Testing Laboratories,30501,Telephone Charges,SE,Voted,2021-2022,16,
502,240200101AA,Soil Testing Laboratories,30502,Other Contingencies,SE,Voted,2021-2022,914,
502,240200101AA,Soil Testing Laboratories,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,58,
502,240200101AA,Soil Testing Laboratories,31903,Maintenance,SE,Voted,2021-2022,636,
502,240200101AA,Soil Testing Laboratories,33304,Contract Payment,SE,Voted,2021-2022,0,
502,240200101AA,Soil Testing Laboratories,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,0,
502,240200101AA,Soil Testing Laboratories,34901,Festival Advances-Debit,SE,Voted,2021-2022,1150,
502,240200101AA,Soil Testing Laboratories,34902,Festival Advances-Credit,SE,Voted,2021-2022,-1050,
502,240200101AA,Soil Testing Laboratories,35901,Prizes and Awards,SE,Voted,2021-2022,0,
502,240200101AA,Soil Testing Laboratories,37602,Maintenance,SE,Voted,2021-2022,167,
502,240200101AA,Soil Testing Laboratories,37603,Stationery,SE,Voted,2021-2022,54,
502,240200101AA,Soil Testing Laboratories,30503,Electricity Charges,SE,Voted,2021-2022,692,
502,240200101AA,Soil Testing Laboratories,30602,Property tax,SE,Voted,2021-2022,42,
502,240200101AA,Soil Testing Laboratories,30603,Water Charges,SE,Voted,2021-2022,19,
502,240200101AA,Soil Testing Laboratories,30701,Publications,SE,Voted,2021-2022,0,
502,240200101AA,Soil Testing Laboratories,30802,Exhibition,SE,Voted,2021-2022,10,
502,240200101AA,Soil Testing Laboratories,34601,"Clothing, Tentage and Stores",SE,Voted,2021-2022,65,
502,240200101AA,Soil Testing Laboratories,30403,Fixed Travelling Allowances,SE,Voted,2021-2022,8,
502,240200101AA,Soil Testing Laboratories,30601,Rent,SE,Voted,2021-2022,290,
502,240200101AA,Soil Testing Laboratories,30801,Advertisement Charges,SE,Voted,2021-2022,578,
502,240200101AA,Soil Testing Laboratories,32401,Materials and Supplies,SE,Voted,2021-2022,3327,
502,240200101AA,Soil Testing Laboratories,34701,Stores,SE,Voted,2021-2022,50,
502,240200101AA,Soil Testing Laboratories,37301,Transport Charges,SE,Voted,2021-2022,240,
502,240200101AA,Soil Testing Laboratories,30201,Wages,SE,Voted,2021-2022,6263,
502,240200101AA,Soil Testing Laboratories,36901,Procurement of Agricultural Inputs,SE,Voted,2021-2022,6116,
502,240200101AA,Soil Testing Laboratories,31002,Insurance Premium,SE,Voted,2021-2022,47,
502,240200101AB,Soil Survey and Land use Organisation,30101,Pay,SE,Voted,2021-2022,8635,
502,240200101AB,Soil Survey and Land use Organisation,30102,Medical Allowance,SE,Voted,2021-2022,58,
502,240200101AB,Soil Survey and Land use Organisation,30104,Other Allowances,SE,Voted,2021-2022,57,
502,240200101AB,Soil Survey and Land use Organisation,30106,House Rent Allowance,SE,Voted,2021-2022,469,
502,240200101AB,Soil Survey and Land use Organisation,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240200101AB,Soil Survey and Land use Organisation,30108,City Compensatory Allowance,SE,Voted,2021-2022,46,
502,240200101AB,Soil Survey and Land use Organisation,30301,Dearness Allowance,SE,Voted,2021-2022,4763,
502,240200101AB,Soil Survey and Land use Organisation,30401,Tour Travelling Allowances,SE,Voted,2021-2022,52,
502,240200101AB,Soil Survey and Land use Organisation,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240200101AB,Soil Survey and Land use Organisation,30502,Other Contingencies,SE,Voted,2021-2022,50,
502,240200101AB,Soil Survey and Land use Organisation,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,0,
502,240200101AB,Soil Survey and Land use Organisation,31903,Maintenance,SE,Voted,2021-2022,22,
502,240200101AB,Soil Survey and Land use Organisation,33304,Contract Payment,SE,Voted,2021-2022,0,
502,240200101AB,Soil Survey and Land use Organisation,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,52,
502,240200101AB,Soil Survey and Land use Organisation,34901,Festival Advances-Debit,SE,Voted,2021-2022,50,
502,240200101AB,Soil Survey and Land use Organisation,34902,Festival Advances-Credit,SE,Voted,2021-2022,-84,
502,240200101AB,Soil Survey and Land use Organisation,35901,Prizes and Awards,SE,Voted,2021-2022,0,
502,240200101AB,Soil Survey and Land use Organisation,37602,Maintenance,SE,Voted,2021-2022,18,
502,240200101AB,Soil Survey and Land use Organisation,37603,Stationery,SE,Voted,2021-2022,5,
502,240200101AB,Soil Survey and Land use Organisation,30503,Electricity Charges,SE,Voted,2021-2022,150,
502,240200101AB,Soil Survey and Land use Organisation,30602,Property tax,SE,Voted,2021-2022,72,
502,240200101AB,Soil Survey and Land use Organisation,30603,Water Charges,SE,Voted,2021-2022,6,
502,240200101AB,Soil Survey and Land use Organisation,34601,"Clothing, Tentage and Stores",SE,Voted,2021-2022,0,
502,240200101AB,Soil Survey and Land use Organisation,30601,Rent,SE,Voted,2021-2022,144,
502,240200101AB,Soil Survey and Land use Organisation,32401,Materials and Supplies,SE,Voted,2021-2022,31,
502,240200101AB,Soil Survey and Land use Organisation,34701,Stores,SE,Voted,2021-2022,4,
502,240200101AB,Soil Survey and Land use Organisation,30201,Wages,SE,Voted,2021-2022,98,
502,240200101AE,Mobile Soil Testing Laboratories,30101,Pay,SE,Voted,2021-2022,21471,
502,240200101AE,Mobile Soil Testing Laboratories,30102,Medical Allowance,SE,Voted,2021-2022,167,
502,240200101AE,Mobile Soil Testing Laboratories,30104,Other Allowances,SE,Voted,2021-2022,144,
502,240200101AE,Mobile Soil Testing Laboratories,30106,House Rent Allowance,SE,Voted,2021-2022,1366,
502,240200101AE,Mobile Soil Testing Laboratories,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240200101AE,Mobile Soil Testing Laboratories,30108,City Compensatory Allowance,SE,Voted,2021-2022,126,
502,240200101AE,Mobile Soil Testing Laboratories,30301,Dearness Allowance,SE,Voted,2021-2022,11014,
502,240200101AE,Mobile Soil Testing Laboratories,30401,Tour Travelling Allowances,SE,Voted,2021-2022,211,
502,240200101AE,Mobile Soil Testing Laboratories,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240200101AE,Mobile Soil Testing Laboratories,30502,Other Contingencies,SE,Voted,2021-2022,328,
502,240200101AE,Mobile Soil Testing Laboratories,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,28,
502,240200101AE,Mobile Soil Testing Laboratories,31903,Maintenance,SE,Voted,2021-2022,446,
502,240200101AE,Mobile Soil Testing Laboratories,32102,Maintenance of Functional Vehicles,SE,Voted,2021-2022,254,
502,240200101AE,Mobile Soil Testing Laboratories,33304,Contract Payment,SE,Voted,2021-2022,0,
502,240200101AE,Mobile Soil Testing Laboratories,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,769,
502,240200101AE,Mobile Soil Testing Laboratories,34901,Festival Advances-Debit,SE,Voted,2021-2022,340,
502,240200101AE,Mobile Soil Testing Laboratories,34902,Festival Advances-Credit,SE,Voted,2021-2022,-310,
502,240200101AE,Mobile Soil Testing Laboratories,35901,Prizes and Awards,SE,Voted,2021-2022,0,
502,240200101AE,Mobile Soil Testing Laboratories,37602,Maintenance,SE,Voted,2021-2022,85,
502,240200101AE,Mobile Soil Testing Laboratories,37603,Stationery,SE,Voted,2021-2022,7,
502,240200101AE,Mobile Soil Testing Laboratories,30503,Electricity Charges,SE,Voted,2021-2022,173,
502,240200101AE,Mobile Soil Testing Laboratories,30602,Property tax,SE,Voted,2021-2022,2,
502,240200101AE,Mobile Soil Testing Laboratories,30603,Water Charges,SE,Voted,2021-2022,7,
502,240200101AE,Mobile Soil Testing Laboratories,34601,"Clothing, Tentage and Stores",SE,Voted,2021-2022,67,
502,240200101AE,Mobile Soil Testing Laboratories,30601,Rent,SE,Voted,2021-2022,144,
502,240200101AE,Mobile Soil Testing Laboratories,30801,Advertisement Charges,SE,Voted,2021-2022,170,
502,240200101AE,Mobile Soil Testing Laboratories,32401,Materials and Supplies,SE,Voted,2021-2022,1591,
502,240200101AE,Mobile Soil Testing Laboratories,34701,Stores,SE,Voted,2021-2022,29,
502,240200101AE,Mobile Soil Testing Laboratories,37301,Transport Charges,SE,Voted,2021-2022,0,
502,240200101AE,Mobile Soil Testing Laboratories,30201,Wages,SE,Voted,2021-2022,3128,
502,240200101AE,Mobile Soil Testing Laboratories,36901,Procurement of Agricultural Inputs,SE,Voted,2021-2022,1425,
502,240200101AE,Mobile Soil Testing Laboratories,31002,Insurance Premium,SE,Voted,2021-2022,19,
502,240200101AF,Central Control Laboratory,30101,Pay,SE,Voted,2021-2022,5418,
502,240200101AF,Central Control Laboratory,30102,Medical Allowance,SE,Voted,2021-2022,39,
502,240200101AF,Central Control Laboratory,30103,Medical Charges,SE,Voted,2021-2022,0,
502,240200101AF,Central Control Laboratory,30104,Other Allowances,SE,Voted,2021-2022,15,
502,240200101AF,Central Control Laboratory,30106,House Rent Allowance,SE,Voted,2021-2022,315,
502,240200101AF,Central Control Laboratory,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240200101AF,Central Control Laboratory,30108,City Compensatory Allowance,SE,Voted,2021-2022,19,
502,240200101AF,Central Control Laboratory,30301,Dearness Allowance,SE,Voted,2021-2022,2186,
502,240200101AF,Central Control Laboratory,30401,Tour Travelling Allowances,SE,Voted,2021-2022,45,
502,240200101AF,Central Control Laboratory,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240200101AF,Central Control Laboratory,30502,Other Contingencies,SE,Voted,2021-2022,19,
502,240200101AF,Central Control Laboratory,31903,Maintenance,SE,Voted,2021-2022,29,
502,240200101AF,Central Control Laboratory,33304,Contract Payment,SE,Voted,2021-2022,0,
502,240200101AF,Central Control Laboratory,34901,Festival Advances-Debit,SE,Voted,2021-2022,50,
502,240200101AF,Central Control Laboratory,34902,Festival Advances-Credit,SE,Voted,2021-2022,-83,
502,240200101AF,Central Control Laboratory,37602,Maintenance,SE,Voted,2021-2022,31,
502,240200101AF,Central Control Laboratory,30503,Electricity Charges,SE,Voted,2021-2022,23,
502,240200101AF,Central Control Laboratory,30701,Publications,SE,Voted,2021-2022,0,
502,240200101AF,Central Control Laboratory,30801,Advertisement Charges,SE,Voted,2021-2022,7,
502,240200101AF,Central Control Laboratory,32401,Materials and Supplies,SE,Voted,2021-2022,209,
502,240200101AF,Central Control Laboratory,34701,Stores,SE,Voted,2021-2022,5,
502,240200101AF,Central Control Laboratory,30201,Wages,SE,Voted,2021-2022,208,
502,240200101AF,Central Control Laboratory,37201,Training,SE,Voted,2021-2022,525,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30101,Pay,SE,Voted,2021-2022,13011,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30102,Medical Allowance,SE,Voted,2021-2022,82,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30103,Medical Charges,SE,Voted,2021-2022,5,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30104,Other Allowances,SE,Voted,2021-2022,38,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30106,House Rent Allowance,SE,Voted,2021-2022,755,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30108,City Compensatory Allowance,SE,Voted,2021-2022,36,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30301,Dearness Allowance,SE,Voted,2021-2022,10290,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30401,Tour Travelling Allowances,SE,Voted,2021-2022,89,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30502,Other Contingencies,SE,Voted,2021-2022,850,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,124,
502,240200101AG,Preparation and Distribution of bio-fertilizers,31903,Maintenance,SE,Voted,2021-2022,2500,
502,240200101AG,Preparation and Distribution of bio-fertilizers,33304,Contract Payment,SE,Voted,2021-2022,0,
502,240200101AG,Preparation and Distribution of bio-fertilizers,34901,Festival Advances-Debit,SE,Voted,2021-2022,190,
502,240200101AG,Preparation and Distribution of bio-fertilizers,34902,Festival Advances-Credit,SE,Voted,2021-2022,-195,
502,240200101AG,Preparation and Distribution of bio-fertilizers,35901,Prizes and Awards,SE,Voted,2021-2022,0,
502,240200101AG,Preparation and Distribution of bio-fertilizers,37602,Maintenance,SE,Voted,2021-2022,145,
502,240200101AG,Preparation and Distribution of bio-fertilizers,37603,Stationery,SE,Voted,2021-2022,30,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30503,Electricity Charges,SE,Voted,2021-2022,4719,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30602,Property tax,SE,Voted,2021-2022,265,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30603,Water Charges,SE,Voted,2021-2022,34,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30701,Publications,SE,Voted,2021-2022,12,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30801,Advertisement Charges,SE,Voted,2021-2022,200,
502,240200101AG,Preparation and Distribution of bio-fertilizers,32401,Materials and Supplies,SE,Voted,2021-2022,40466,
502,240200101AG,Preparation and Distribution of bio-fertilizers,34701,Stores,SE,Voted,2021-2022,144,
502,240200101AG,Preparation and Distribution of bio-fertilizers,37301,Transport Charges,SE,Voted,2021-2022,10590,
502,240200101AG,Preparation and Distribution of bio-fertilizers,31701,Minor Works,SE,Voted,2021-2022,20,
502,240200101AG,Preparation and Distribution of bio-fertilizers,30201,Wages,SE,Voted,2021-2022,38820,
502,240200101AG,Preparation and Distribution of bio-fertilizers,36901,Procurement of Agricultural Inputs,SE,Voted,2021-2022,61669,
502,240200101AG,Preparation and Distribution of bio-fertilizers,31002,Insurance Premium,SE,Voted,2021-2022,293,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,30502,Other Contingencies,SSSC,Voted,2021-2022,0,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,31901,Purchase,SSSC,Voted,2021-2022,15889,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,7343,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,30801,Advertisement Charges,SSSC,Voted,2021-2022,134,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,32401,Materials and Supplies,SSSC,Voted,2021-2022,1666,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,31701,Minor Works,SSSC,Voted,2021-2022,709,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,30505,Furniture,SSSC,Voted,2021-2022,1730,
502,240200101UB,Soil Health Management under National Mission on Sustainable Agriculture,37601,Purchase,SSSC,Voted,2021-2022,377,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,30502,Other Contingencies,SSSC,Voted,2021-2022,0,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,31901,Purchase,SSSC,Voted,2021-2022,10600,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,4896,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,30801,Advertisement Charges,SSSC,Voted,2021-2022,84,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,32401,Materials and Supplies,SSSC,Voted,2021-2022,1143,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,31701,Minor Works,SSSC,Voted,2021-2022,486,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,30505,Furniture,SSSC,Voted,2021-2022,1177,
502,240200101UC,Soil Health Management under National Mission on Sustainable Agriculture - State Share,37601,Purchase,SSSC,Voted,2021-2022,315,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),30502,Other Contingencies,SSSC,Voted,2021-2022,51,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),31901,Purchase,SSSC,Voted,2021-2022,0,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),33304,Contract Payment,SSSC,Voted,2021-2022,0,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),30802,Exhibition,SSSC,Voted,2021-2022,4080,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,0,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),31101,Individual Based Subsidy,SSSC,Voted,2021-2022,1545,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),32401,Materials and Supplies,SSSC,Voted,2021-2022,0,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),33303,Special Service,SSSC,Voted,2021-2022,323,
502,240200102UT,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA),37201,Training,SSSC,Voted,2021-2022,25387,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,30502,Other Contingencies,SSSC,Voted,2021-2022,34,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,31901,Purchase,SSSC,Voted,2021-2022,0,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,33304,Contract Payment,SSSC,Voted,2021-2022,0,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,30802,Exhibition,SSSC,Voted,2021-2022,2720,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,0,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,31101,Individual Based Subsidy,SSSC,Voted,2021-2022,1058,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,32401,Materials and Supplies,SSSC,Voted,2021-2022,0,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,33303,Special Service,SSSC,Voted,2021-2022,214,
502,240200102UX,Soil Health Card (SHC) under National Mission on Sustainable Agriculture (NMSA) - State Share,37201,Training,SSSC,Voted,2021-2022,16934,
